title,score,date,airline,source
"""flight delays and cancellations""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""I would never fly Lufthansa again""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""inconvenience and wasted time""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""charge for food on short haul""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""All flights delay. Rude crew""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""The customer service was bad""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""Truly excellent experience""",4.5,2023-07-01,LUFTHANSA,SKYTRAX
"""there was a massive baggage delay""",1.5,2023-07-01,LUFTHANSA,SKYTRAX
"""always an unpleasant experience""",1.5,2023-07-01,LUFTHANSA,SKYTRAX
"""staff almost always unpleasant""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""not a pleasant experience""",1.5,2023-07-01,LUFTHANSA,SKYTRAX
"""Poor timing between connecting flights""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""Second time I’ve had problems""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""Really poor service""",2,2023-07-01,LUFTHANSA,SKYTRAX
"""I´m yet to obtain my compensation""",1,2022-08-01,LUFTHANSA,SKYTRAX
"""I would like to thank Lufthansa""",4,2023-03-01,LUFTHANSA,SKYTRAX
"""retched experience with Lufthansa""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""flight tickets increased drastically""",1,2023-06-01,LUFTHANSA,SKYTRAX
"""have never experienced such horrendous service""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""We will never fly with Lufthansa again""",1.5,2023-07-01,LUFTHANSA,SKYTRAX
"""food was basically inedible""",1,2023-04-01,LUFTHANSA,SKYTRAX
"""never fly with your airline again""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""nothing special, nothing wrong either""",3.5,2023-06-01,LUFTHANSA,SKYTRAX
"""will not do anything to compensate""",0.5,2023-07-01,LUFTHANSA,SKYTRAX
"""No free food, no free drinks""",2,2023-06-01,LUFTHANSA,SKYTRAX
"""economy class was fine and as expected""",4,2023-05-01,LUFTHANSA,SKYTRAX
"""will definitely avoid""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""they do not respect their customers""",0.5,2022-08-01,LUFTHANSA,SKYTRAX
"""connecting flight got cancelled/left""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""mishandling my delayed luggage""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""I was extremely disappointed""",0.5,2023-05-01,LUFTHANSA,SKYTRAX
"""no service for the money I paid""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""will not fly Lufthansa again""",1.5,2023-06-01,LUFTHANSA,SKYTRAX
"""Never again Lufthansa""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""they were totally inflexible""",3,2023-06-01,LUFTHANSA,SKYTRAX
"""staff acted a bit uncoordinated""",3.5,2023-06-01,LUFTHANSA,SKYTRAX
"""everything was to our complete satisfaction""",4.5,2023-06-01,LUFTHANSA,SKYTRAX
"""my suitcase was missing""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""delayed by close to two hours""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""Left our bags in Munich""",1,2023-06-01,LUFTHANSA,SKYTRAX
"""Extremely disappointing""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""shocking customer service""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
